sample	condition	replicate	RHPS4	Inh5	filtered_library_reads	ecoli_reads
NTrep1BG4	NT	1	no	no	21594706	32254194
NTrep2	NT	2	no	no	17820922	22411786
NTrep3	NT	3	no	no	18898803	29461354
RHPS4rep1	RHPS4	1	yes	no	17886006	30881352
RHPS4rep2	RHPS4	2	yes	no	13449849	22782188
RHPS4rep3	RHPS4	3	yes	no	15908788	24035848
Inh5rep1	Inh5	1	no	yes	19111845	25752016
Inh5rep2	Inh5	2	no	yes	16421772	30562968
Inh5rep3	Inh5	3	no	yes	12223479	25082864
InhRHPS4rep1	Combo	1	yes	yes	15220161	19694752
InhRHPS4rep2	Combo	2	yes	yes	16972554	27833830
InhRHPS4rep3	Combo	3	yes	yes	15833291	28264410
