gene	g4_fc	padj	location	rna_fc	label
A1BG	0.998261947388355	NA	Promoter	-0.463908320677559	NA
AADAT	-19.0535434046189	NA	Intron	-0.648342123208783	NA
AAGAB	21.9482398052824	NA	Intron	-0.0538314037840656	NA
AAMDC	-21.6126956230589	NA	Intron	-0.494041671262517	NA
AASS	-7.12429954873215	NA	Intron	-0.00372122045100883	NA
ABCC4	-5.74536547039326	NA	Intergenic	-0.347377913851066	NA
ABCD1	9.17366244774912	NA	Intron	-0.962311614368006	ABCD1
ABHD10	6.85935883921191	NA	Intron	-0.243296179934805	NA
ABHD11	-5.93532625689532	NA	Intergenic	-1.06683725077808	NA
ABHD15	-6.08055268914232	NA	Exon	-0.757020281773978	NA
ABI3BP	1.63373478863612	NA	Exon	-0.160852064787656	NA
ABLIM2	-1.20738010276698	1	Promoter	-0.461617587410951	NA
ABTB2	7.57748230457126	NA	Intron	0.538242043583667	NA
ACAP2	-3.19788920953911	NA	Intron	-0.133657672605601	NA
ACOT7	-5.17701290202938	0.179235695803217	Intron	-0.454081961140362	NA
ACOX3	21.5121860919896	NA	Intron	0.0529765272777045	NA
ACSBG1	5.87482883653644	NA	Intron	-0.327651794063824	NA
ACTN1	-5.73691817427744	NA	Intergenic	-0.561703945924349	NA
ACTR3B	-7.37612989860972	NA	Intergenic	-0.289451371549642	NA
ACVR2A	-4.04304681671652	NA	Intron	0.459831443123275	NA
ADA	-6.89846570318217	NA	Intron	-0.577405104967355	NA
ADA2	-0.369299321977737	NA	UTR	0.465744821899357	NA
ADAM17	6.75535155609976	NA	Intron	-0.0102950638234816	NA
ADAM22	-9.62238403456011	0.0595985737069551	UTR	-0.164734689972341	NA
ADAM23	-8.48212827652751	NA	Intergenic	0.226189355433222	NA
ADAMTS20	-0.85011027574745	NA	Intron	1.14142103434137	NA
ADAMTS3	5.26193307122504	NA	Intron	-0.571297234972186	NA
ADCY3	5.83450164060453	NA	Intron	-0.713117078320596	NA
ADCY7	7.25537292961278	NA	Promoter	-0.805635459151052	NA
ADGRA3	-1.33653003784881	NA	Intron	0.0636742972092853	NA
ADGRG3	8.15260105954842	NA	Promoter	0.695529953198586	NA
ADGRL3-AS1	21.5743344705856	NA	Intergenic	-0.650482651957475	ADGRL3-AS1
ADK	1.23848710274697	1	Intron	0.0157242238578524	NA
ADNP-AS1	1.04507827567463	NA	Intergenic	-0.166364282921244	NA
ADRA1A	8.10834721185554	NA	Intergenic	-0.647842235814273	NA
AEBP2	7.96953364074693	0.107747719561637	Intron	0.355707015886647	NA
AFF3	-5.66246808757253	NA	UTR	0.184770816659242	NA
AGA-DT	8.0553815856357	NA	Intron	-0.0476627240035288	NA
AGBL3	-0.300874982287754	NA	Intron	-0.269391508206233	NA
AGK-DT	-1.14158691330802	NA	Intron	0.0396428215722179	NA
AGMO	-4.47338147493063	NA	Intron	0.160262048791771	NA
AGO2	-5.80695226250953	NA	Intron	-0.19761477134814	NA
AHNAK	1.97765538927785	NA	Intron	-0.0244801431285629	NA
AHRR	9.95166064561411	0.0322130168465605	Intron	-0.2401642563519	NA
AK3	7.68243397558168	0.143182861689853	Intron	-0.228736401964898	NA
AKAP11	-15.2045066261162	NA	Intron	-0.257474049326551	NA
AKAP6	-0.460257294436594	NA	Intergenic	0.243893626078833	NA
AKAP8	0.276712127693304	NA	Intron	-0.25353661460981	NA
AKNA	-6.06606263216072	NA	Intron	0.827942815485241	NA
AKR7A3	-8.89026625710146	NA	Exon	0.0412309871755837	NA
ALCAM	-10.8439439800521	0.0232278198147328	Intergenic	0.0610182924302614	NA
ALDH18A1	7.50569024132566	0.106200060998351	Promoter	-0.280027771905341	NA
ALDH1L1	0.00511001665114305	NA	Intron	-0.104790671737863	NA
ALDH2	0	1	Intron	-0.44706384682859	NA
ALG10	-6.25536676535692	NA	Intergenic	-0.6378642950276	NA
ALG10B	0	1	Intergenic	-0.281176823320141	NA
ALG13	-5.13927372011539	NA	Intron	-0.00594729488151066	NA
ALMS1	4.73346948970928	NA	Intron	-0.195504003624062	NA
ALPK3	-6.97376909449857	NA	Intron	0.433189228504049	NA
AMN1	-7.74630802761503	0.119050109231742	UTR	-0.315890966634112	NA
AMOTL1	-0.952819703732653	1	Intron	-0.325864603227438	NA
AMPD3	10.0515568004075	0.0378287186714006	Intron	-0.230746802633969	NA
AMPH	8.61645020371317	NA	Intron	-0.119249944067438	NA
ANGPT1	-1.18510263386819	NA	Intron	-0.448420407984741	NA
ANGPT2	22.484772522564	NA	UTR	-0.403177846419043	NA
ANGPTL2	0.00718403388466231	NA	Intron	-0.0426570660066817	NA
ANK2-AS1	9.5621385399476	NA	Intron	0.224676108971291	NA
ANK3	19.2165814963548	NA	Intron	0.0726977836910609	NA
ANKRD33B	7.23405581785804	NA	Intron	0.346125688199381	NA
ANKRD53	2.49663540838826	NA	UTR	0.143803777412851	NA
ANKS6	4.17942698019618	NA	Promoter	-0.193321882329088	NA
ANLN	1.25263874020612	NA	Intergenic	-2.29127162056603	NA
ANO2	0.641522389058926	NA	Intron	0.823605323044404	NA
ANO3	-17.353963257377	NA	Intron	0.747084581124028	ANO3
ANO8	-15.2966105935391	NA	Promoter	-0.850760158337382	NA
ANOS1	0.726696920603989	NA	Intron	0.875397187883005	NA
ANTXR1	-8.48799634192169	NA	Intron	0.0699288654533712	NA
ANXA3	-4.8443089983848	NA	UTR	-0.116278086136871	NA
AOAH	-2.93720089038895	NA	Intron	-0.570803345338418	NA
AP3B2	7.74609797229666	NA	Exon	-0.315017488689336	NA
AP3M2	-7.3019802875083	NA	Intergenic	-0.425128544976922	NA
APBA3	0.909765306592546	NA	UTR	-0.449502847825616	NA
APCDD1L-DT	-7.2594242965388	NA	Intergenic	0.127450541975167	NA
APEH	0.425008991821587	NA	Intron	-0.523479457772238	NA
APMAP	-1.09252024021026	NA	Intron	-0.279381767881712	NA
APOBEC3F	3.02540255565334	NA	Intron	-0.434073185725046	NA
APOL3	7.43352797943141	NA	Exon	-1.25292113732581	NA
APOL6	-3.5481282703626	NA	Intergenic	0.0662380677518913	NA
APP	7.03772462555369	NA	Intergenic	0.167598759398635	NA
APP-DT	20.5112256149193	NA	Intron	0.570234888136328	NA
APRG1	-1.15470579712313	1	Intron	0.295131387880543	NA
AQP4	1.68455188084253	1	Intron	-0.592957567238084	NA
ARC	7.66982521463143	NA	Exon	-0.960918019178876	NA
ARHGAP1	5.98653998952294	NA	Exon	0.258363684596954	NA
ARHGAP10	-4.68390941698457	NA	Intergenic	1.21050513862828	NA
ARHGAP24	0.43144574938227	NA	Intergenic	1.06028240837223	NA
ARHGAP28	-1.53182304218847	1	Intergenic	0.425933992469481	NA
ARHGAP4	8.72894650971825	NA	Intron	0.262826203864378	NA
ARHGAP5	4.61115247934979	0.19884230580616	Intron	-0.0970408994921653	NA
ARHGEF3-AS1	-3.48138140845875	NA	Intron	-0.338498711132729	NA
ARHGEF33	8.97562821306886	NA	Intron	0.717688076537064	NA
ARID1B	-23.2145567889601	NA	Intron	0.12395169063449	NA
ARL1	8.14501497772821	NA	Intron	-0.376089431450269	NA
ARL15	-16.1007877726768	NA	Intron	0.142511888295987	NA
ARL16	6.6222327345622	NA	Promoter	-0.914943413098321	NA
ARL2	5.67105413823382	NA	Promoter	-0.994767240763716	NA
ARL4D	8.20464078469706	0.0379252716199222	Intergenic	-1.0784410941645	NA
ARMC8	0.316349991197773	1	Intron	-0.0712075148416289	NA
ARSA	0.299743820667762	1	Intergenic	0.10163131691537	NA
ASPH	-2.65404620161084	NA	Intron	0.0118706235323652	NA
ASTN2	-8.20131038675869	0.0599246909034617	Intron	0.280743842533437	NA
ASXL3	-3.76813814401062	NA	Intergenic	0.698527920295621	NA
ATF6	-0.685057144638224	1	Intron	-0.163370576756117	NA
ATG10	-8.30634652684171	NA	Intergenic	-0.096039246214627	NA
ATG14	1.1679918593847	1	Intron	-0.0934866865909952	NA
ATG16L2	-8.31877206842767	NA	Intron	-0.31691542969453	NA
ATG2A	3.89246671799426	NA	Promoter	-0.164378270609651	NA
ATOSA	0.41470254791753	NA	Intron	0.0858182604486504	NA
ATOX1	8.84846883076179	NA	UTR	-0.89573522968463	NA
ATP10B	-2.14139780332957	NA	Intron	-0.60072123071018	NA
ATP11B	21.7722409848314	NA	Intron	-0.267496579666688	NA
ATP13A3	7.13449823833189	NA	Intron	-0.116597344352885	NA
ATP13A3-DT	9.1585734681332	0.0368990868974514	Promoter	-0.867938109861889	ATP13A3-DT
ATP5MJ	-0.738326635542967	NA	Intergenic	-0.799413701358498	NA
ATP5PD	7.0634046414182	NA	Intron	-1.03578654519754	NA
ATP6V1G1	-6.62034431308884	NA	Exon	-0.353568254276537	NA
ATP8B5P	-6.13618000728166	NA	Intron	-0.250712940621706	NA
ATRAID	9.68457093519014	NA	Exon	-0.60307195062077	NA
ATXN1-AS1	-3.74062865189799	NA	Intron	-0.211912609811592	NA
ATXN7L1	9.26052437701882	NA	Intron	-0.0924718963146498	NA
AUH	-2.70411837624033	NA	Promoter	0.157161475418442	NA
AUTS2	13.4737050974742	NA	Intron	0.323463632897737	NA
AVPI1	-22.8784560548057	NA	Promoter	-1.60923081158878	NA
AZIN2	-4.95848662746373	NA	Intron	-0.0490208692588631	NA
B4GALNT3	-0.975247933281401	NA	Promoter	-0.35621272448986	NA
B4GALNT4	7.08640135189681	NA	Promoter	-0.140859035417992	NA
B4GALT4-AS1	0	1	Intergenic	0.460959008172812	NA
B4GALT5	-9.52802839574357	0.0443658889405056	Intergenic	-0.0719184042765437	NA
BAALC-AS1	-21.9002742099	NA	Intron	-0.100609180016038	NA
BACE1	8.30893661257435	0.0599246909034617	Intron	0.191601150631832	NA
BAP1	8.00557932136458	0.0441118306492639	Promoter	-0.398045334807907	BAP1
BAZ1A-AS1	-5.92900046066861	NA	Intron	-1.66604513581223	NA
BAZ2A	5.09518418908552	NA	Intron	-0.0396825058029513	NA
BAZ2B-AS1	-7.26969715483836	NA	Exon	-0.579949535366315	NA
BCAR1	-22.3379980811245	NA	Intergenic	0.07170473546422	NA
BCL2	-7.12507021280801	NA	Intron	-0.578152029776391	NA
BCL7A	-2.58600127834219	NA	UTR	-0.302434442302504	NA
BCR	-5.83630016687815	NA	Intron	-0.069368725270278	NA
BCS1L	-5.13605896404226	NA	UTR	-0.143364811834332	NA
BDH2	3.35594941848994	NA	Promoter	-1.01359347939844	NA
BEND5	-7.84540047504852	0.0685319788042535	Intron	0.03648032508462	NA
BFSP1	1.16810249241327	1	Exon	-0.606237608803485	NA
BHLHE40	1.73104992848496	NA	Intron	0.882666458058029	NA
BHLHE40-AS1	-6.96814340531123	NA	Intron	0.901041139793345	NA
BLCAP	3.99415289295388	NA	Intergenic	0.509938222907198	NA
BLTP1	2.84437448011574	NA	Intron	0.150809931677583	NA
BMAL1	-0.685077050653253	1	Intron	-0.0318678344371921	NA
BMP6	-4.26329189853563	NA	Intron	0.383420312069417	NA
BMPR1B	9.92203921062871	0.0365844398920166	Intron	-0.419458803333257	NA
BMS1P20	6.82013831459462	NA	Exon	-0.236858928634338	NA
BNIP3	22.2285654453778	NA	Intron	0.661781616465654	NA
BPNT2	13.4811886646321	NA	Intergenic	0.121252356665793	NA
BPTF	3.87731169621596	NA	Intron	-0.053980134269288	NA
BRD1	21.0574616856333	NA	Promoter	0.123803412037893	NA
BRF2	-7.44820615808704	NA	Promoter	-0.590220920154871	NA
BRINP1	22.025859237989	NA	Intron	-0.519293065688686	NA
BRINP3-DT	1.3442926171214	NA	Intron	-0.421940914955826	NA
BST1	10.2251232465757	0.0441118306492639	Intron	-0.0249809507173955	NA
BTBD16	0.180298188715582	NA	Intron	0.127829936285318	NA
BTBD3	4.70461804636319	NA	Promoter	0.0409751038025657	NA
BTBD3-AS1	8.03127684617114	0.0368990868974514	Intergenic	-0.00204355953560027	NA
BTG1	-6.86371042062922	NA	Intron	-0.439513688284422	NA
C19orf53	1.70366495521929	NA	Exon	-0.552757434914986	NA
C1orf105	-23.3404653164346	NA	Exon	-0.715279815992055	NA
C1orf35	2.48461819275099	NA	Promoter	-0.629491251194333	NA
C1QTNF7	1.13211827098904	NA	Intron	-0.172641137513214	NA
C20orf203	-1.086168512597	NA	Promoter	0.606327869198467	NA
C2CD4C	-8.43730874417505	NA	Intron	-0.227058150982292	NA
C2orf49	0	1	Intron	-0.405826200020339	NA
C4orf46	-5.45429943768371	NA	Promoter	-0.656757037652294	NA
C9orf153	5.57135630532803	NA	Intron	-0.170377348567188	NA
C9orf78	-6.43302305826075	NA	Promoter	-0.524724114390936	NA
CA10	-0.726020210247944	NA	Intron	-0.092650194367708	NA
CABP1	2.14862486537144	NA	Intergenic	-0.457614390490243	NA
CACNA1A	-1.1253752204658	NA	Intron	-0.407097945167447	NA
CACNA1I	-22.054586649622	NA	Exon	0.243531013663743	NA
CACNG1	8.17908689817983	NA	UTR	-0.350093139876926	NA
CADPS	0	1	Intron	1.19459780124509	NA
CADPS2	8.98648304496333	NA	Intergenic	0.0126605050152765	NA
CALD1	-21.1943438400782	NA	Intron	-0.228305321137264	NA
CALM2	-8.2877350290805	NA	Intron	-0.27122123288156	NA
CALML4	-8.52291362711918	NA	Exon	-0.709728699875483	NA
CALN1	0.405858627351112	NA	Intron	-0.0565087442155174	NA
CAMK2B	-8.76516917304967	NA	Intergenic	0.101405061279944	NA
CAMK2D	9.14289894105632	NA	Exon	0.0246579494246251	NA
CAMSAP1	-6.7325697783372	NA	UTR	0.032299570007936	NA
CAMSAP3	-21.4855160185229	NA	Promoter	-0.619821879570191	NA
CAMTA1-DT	-7.75967135418826	NA	Promoter	-1.13437914807302	NA
CAPN2	-8.82781129509701	0.0365844398920166	Intergenic	-0.384755071859125	NA
CAPN9	-15.230827483136	NA	Promoter	-0.448470714887558	NA
CAPRIN2	-20.653771473551	NA	Exon	-0.0238231891197978	NA
CAPZA2	8.08743399980407	NA	Intron	-0.25029640316669	NA
CASD1	-6.04748345121941	NA	Intron	-0.0413591906172134	NA
CAV2	0	NA	Intron	-0.44219813339546	NA
CBX3P2	-0.409161947087402	1	Intron	-0.069890545116338	NA
CCBE1	1.45660161051262	NA	Intergenic	0.40444560697206	NA
CCDC138	7.14102908280564	0.0427249848463924	Exon	-0.647830546111161	NA
CCDC14	-7.55691356996089	NA	Intron	-0.402250049606413	NA
CCDC144A	-7.03234319618283	NA	Intron	-0.0255274055405007	NA
CCDC148	-7.39631670934021	NA	Intron	-0.473696082891509	NA
CCDC171	1.80121427896518	NA	Intron	-0.318294959840842	NA
CCDC54-AS1	-6.96621652781286	NA	Intron	0.280723999137133	NA
CCDC59	2.19590275447641	0.996760992472849	Intron	-0.659380315825224	NA
CCDC77	-21.4531792751674	NA	Intron	-0.806076801249883	NA
CCNK	0.735008648674833	NA	Intron	-0.453893926133775	NA
CCNL1	22.5849157281539	NA	Intron	-0.13226963790753	NA
CCNT2-AS1	-0.29722640656762	NA	Promoter	-0.189790935099905	NA
CCR6	-5.13570205181563	NA	Intron	-0.989989850279113	NA
CCSAP	8.52686548283756	NA	Promoter	-0.412860384758052	NA
CCT6A	-5.1231081384664	NA	Promoter	-0.453012923079255	NA
CCT7	0.291521781199171	1	Promoter	-0.548140897205459	NA
CCZ1B	6.9441912452159	0.0586628126726043	Intron	-0.522180922748477	NA
CD163L1	21.5609884037534	NA	Intron	-0.228065710744318	NA
CD200	-5.29117429998266	NA	UTR	-0.034892879295407	NA
CD226	-20.9118870873339	NA	Intron	0.178176592303952	NA
CD24	7.59791117907447	NA	Intergenic	0.0654356600809359	NA
CDCA7L	9.61910726967854	NA	Intron	-0.72968074693949	NA
CDH1	0	1	Intron	0.613257236877631	NA
CDH13	2.17066342230099	0.978259751574246	Intron	0.384967765641156	NA
CDH2	-1.67537322431474	NA	Exon	-0.00725020699891053	NA
CDH20	8.09324170124357	0.0427249848463924	Intergenic	0.203910973575135	NA
CDH7	22.3847416829439	NA	Intron	0.127245605229665	NA
CDH8	2.86075672987659	NA	Exon	1.40727196570065	NA
CDHR3	0	NA	Intron	0.456206887382025	NA
CDIN1	6.14931090995979	NA	Intron	-0.398393355358535	NA
CDK14	-0.349886804332569	NA	UTR	0.0663548108774778	NA
CDK6	-0.35805287779051	NA	Intergenic	-0.229832170573916	NA
CDKL4	0.250788341312883	NA	Exon	0.724058766959563	NA
CDKN3	-7.06875785343734	NA	Intron	-2.93548817244332	NA
CEBPA	21.7800215101752	NA	Intron	-1.36433028101657	CEBPA
CEMIP2	1.14451311392681	1	UTR	0.159783240299275	NA
CENPF	-23.3238821912154	NA	Intergenic	-1.15170885450909	NA
CENPU	-1.31248977249525	NA	Intron	-2.09819012469667	NA
CENPV	1.47028731086592	NA	Intergenic	0.228467880299215	NA
CENPW	-7.23682941714242	NA	Intron	-2.58736104586004	NA
CEP104	-6.74090229450795	NA	UTR	-0.362696687881976	NA
CEP192	13.589458644876	NA	Exon	-0.474757378071559	NA
CEP44	8.86993914210385	NA	Promoter	-0.44331290653889	NA
CEP70	0	NA	Intron	-0.338545627017308	NA
CEP76	8.80660490093712	NA	Exon	-0.554573423613474	NA
CEP83-DT	-1.5759632752893	NA	Intergenic	-2.2186602726242	NA
CERS4	7.81198267693151	NA	Intron	0.337788314279387	NA
CFAP20DC-AS1	9.51898199258006	0.0418846848608327	Intron	0.0498952279362134	NA
CFAP20DC-DT	9.79658325928469	NA	Intron	-0.559686142917509	NA
CFAP54	-0.429391258440071	NA	Intron	0.153797679934	NA
CFAP69	-19.2244985444242	NA	Promoter	0.32403761576848	NA
CHASERR	-6.45855174111284	NA	Intron	-0.0502634442981969	NA
CHD6	0.276721750665708	1	Intron	0.158257842615192	NA
CHDH	-2.24862473105109	0.950423730312268	Intron	-0.324043596582862	NA
CHFR	-1.59713642483589	NA	Intron	0.238172859567339	NA
CHFR-DT	0.881019167367948	NA	UTR	-0.942046336900378	NA
CHMP4B	-1.27762501959423	NA	Exon	-0.383709118220699	NA
CHMP7	-3.68157047481521	NA	Promoter	-0.0151538520491508	NA
CHN2-AS1	-1.25841864821443	NA	Intron	0.130023362053965	NA
CHRM5	-3.49881525812625	NA	Intron	0.302194032693565	NA
CHRNA10	-6.55884315838122	NA	Intron	-0.696334111307773	NA
CHRNA4	8.44629101681889	NA	Exon	-0.00894629360194942	NA
CHRNA5	9.3028662424081	NA	Intron	-1.78627182625711	CHRNA5
CHST12	-8.37461816982737	0.106200060998351	Intergenic	-0.345834359729287	NA
CHST9	8.16782248586239	NA	Intron	-0.822169693285432	NA
CHSY3	5.56003166675907	NA	Intron	-0.274312423739091	NA
CISD2	-7.28643631791785	NA	Intron	-0.690023285816293	NA
CKLF-CMTM1	-0.608443543994762	1	Promoter	-0.475383312686121	NA
CKMT2	-0.307123069912927	1	Intron	0.186313387160002	NA
CLDN18	-21.8652019595833	NA	Intergenic	-0.477639832907241	NA
CLDN4	-5.24724419822923	NA	Intron	0.0691198781072226	NA
CLEC11A	-5.88465892901368	NA	Exon	-0.717120337879416	NA
CLEC20A	1.23847315544121	1	Intron	-0.453489435582843	NA
CLPB	-1.68433175115504	NA	Intergenic	-0.186129882253335	NA
CLPTM1	20.0011214206977	NA	Intron	-0.174801032066147	NA
CLTA	18.3305794115146	NA	UTR	-0.157596502154675	NA
CLU	1.39104524682494	NA	Promoter	-0.145063657288241	NA
CMPK1	9.21795714594823	NA	Intron	-0.32328691174017	NA
CMTM4	0	NA	UTR	-0.101939764523114	NA
CNBD1	-0.383165823320886	NA	Intron	-0.776364464283579	NA
CNDP1	5.18512603228661	NA	Intron	0.188581940825825	NA
CNDP2	-0.275893312261747	NA	Promoter	-0.167847455306951	NA
CNIH3-AS2	-1.25974749343542	NA	Intron	-0.256667489110162	NA
CNOT4	0.276724266523118	1	Intron	0.0212461936951956	NA
CNPY1	-7.59457240355993	NA	Intron	0.485745971360655	NA
CNPY2-AS1	3.14792879259318	NA	Intron	-0.134244153774983	NA
CNTF	7.09493126084857	NA	Intron	0.735221195559168	NA
CNTN4	-0.685065971994231	1	Intergenic	-0.160546504395307	NA
CNTNAP5	3.49800065902316	NA	Intron	-0.165718255797132	NA
COBL	-3.20867882759419	NA	Intron	-0.162530225436474	NA
COG3	4.95634691868612	NA	Intron	0.0877504473902639	NA
