gene	group	condition	z
BAP1	Promoter synergy	NT	0.0707289543031066
BAP1	Promoter synergy	RHPS4	0.894267545555502
BAP1	Promoter synergy	N-inh5	0.447467838059834
BAP1	Promoter synergy	Combo	-1.41246433791844
CTDNEP1	Promoter synergy	NT	0.884178323659669
CTDNEP1	Promoter synergy	RHPS4	0.768528660214222
CTDNEP1	Promoter synergy	N-inh5	-0.464502553616383
CTDNEP1	Promoter synergy	Combo	-1.18820443025751
PEG3	Promoter synergy	NT	-1.15084534093115
PEG3	Promoter synergy	RHPS4	0.501123452213332
PEG3	Promoter synergy	N-inh5	1.10375792745723
PEG3	Promoter synergy	Combo	-0.454036038739416
PARTICL	Promoter synergy	NT	1.18597939406124
PARTICL	Promoter synergy	RHPS4	-0.482590573809197
PARTICL	Promoter synergy	N-inh5	0.394355621274315
PARTICL	Promoter synergy	Combo	-1.09774444152635
ATP13A3-DT	Direct G4/RNA loci	NT	0.7339353506192
ATP13A3-DT	Direct G4/RNA loci	RHPS4	-0.621048129649252
ATP13A3-DT	Direct G4/RNA loci	N-inh5	0.96072558867549
ATP13A3-DT	Direct G4/RNA loci	Combo	-1.07361280964544
RBM15-AS1	Direct G4/RNA loci	NT	1.07080981183728
RBM15-AS1	Direct G4/RNA loci	RHPS4	-0.597437311487834
RBM15-AS1	Direct G4/RNA loci	N-inh5	0.59529759692559
RBM15-AS1	Direct G4/RNA loci	Combo	-1.06867009727503
SLC29A1	Direct G4/RNA loci	NT	0.874221926110087
SLC29A1	Direct G4/RNA loci	RHPS4	-0.202019196671335
SLC29A1	Direct G4/RNA loci	N-inh5	0.656117364531434
SLC29A1	Direct G4/RNA loci	Combo	-1.32832009397019
NINJ2	Direct G4/RNA loci	NT	0.994836346637746
NINJ2	Direct G4/RNA loci	RHPS4	-0.200283906163105
NINJ2	Direct G4/RNA loci	N-inh5	0.512264930565766
NINJ2	Direct G4/RNA loci	Combo	-1.30681737104041
CDKN1A	p21 response	NT	-0.92584548857389
CDKN1A	p21 response	RHPS4	0.972658599168324
CDKN1A	p21 response	N-inh5	-0.796597879320426
CDKN1A	p21 response	Combo	0.749784768725992
MIR34AHG	p21 response	NT	-0.934901172224209
MIR34AHG	p21 response	RHPS4	0.594070565726373
MIR34AHG	p21 response	N-inh5	-0.755586103323585
MIR34AHG	p21 response	Combo	1.09641670982142
MYBL2	DREAM/cell-cycle	NT	0.905791922608298
MYBL2	DREAM/cell-cycle	RHPS4	-0.0582272447270854
MYBL2	DREAM/cell-cycle	N-inh5	0.529361836751905
MYBL2	DREAM/cell-cycle	Combo	-1.37692651463312
LIN9	DREAM/cell-cycle	NT	0.964828490458652
LIN9	DREAM/cell-cycle	RHPS4	-0.477444559089294
LIN9	DREAM/cell-cycle	N-inh5	0.684311571139612
LIN9	DREAM/cell-cycle	Combo	-1.17169550250897
CDC20	DREAM/cell-cycle	NT	0.853754980642558
CDC20	DREAM/cell-cycle	RHPS4	-0.189182407183869
CDC20	DREAM/cell-cycle	N-inh5	0.671328205280259
CDC20	DREAM/cell-cycle	Combo	-1.33590077873895
BIRC5	DREAM/cell-cycle	NT	0.910059420636807
BIRC5	DREAM/cell-cycle	RHPS4	-0.324294922287878
BIRC5	DREAM/cell-cycle	N-inh5	0.680530466616097
BIRC5	DREAM/cell-cycle	Combo	-1.26629496496503
CDK1	DREAM/cell-cycle	NT	0.896717431004711
CDK1	DREAM/cell-cycle	RHPS4	-0.340721112860898
CDK1	DREAM/cell-cycle	N-inh5	0.703134099924913
CDK1	DREAM/cell-cycle	Combo	-1.25913041806873
TOP2A	DREAM/cell-cycle	NT	0.959282756826433
TOP2A	DREAM/cell-cycle	RHPS4	-0.515072535609772
TOP2A	DREAM/cell-cycle	N-inh5	0.704127990505887
TOP2A	DREAM/cell-cycle	Combo	-1.14833821172255
MKI67	DREAM/cell-cycle	NT	0.928045935421847
MKI67	DREAM/cell-cycle	RHPS4	-0.625153984192164
MKI67	DREAM/cell-cycle	N-inh5	0.77106187549966
MKI67	DREAM/cell-cycle	Combo	-1.07395382672934
LMNB1	Senescence	NT	0.718652348963386
LMNB1	Senescence	RHPS4	-0.291263034162493
LMNB1	Senescence	N-inh5	0.860403530163632
LMNB1	Senescence	Combo	-1.28779284496453
LMNB2	Senescence	NT	0.686957771582665
LMNB2	Senescence	RHPS4	0.190856521969537
LMNB2	Senescence	N-inh5	0.587344245695938
LMNB2	Senescence	Combo	-1.46515853924814
