CHR	START	END	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	SYMBOL	location
chr1	1615558	1616226	32.0670625212172	6.1216338767364	2.91807594253802	2.09783226937269	NA	NA	MIB2	Promoter
chr1	1946784	1947205	56.4562912695164	1.24793442374222	3.29405082017075	0.378844921304988	0.704803027040212	1	TMEM52	Exon
chr1	2043410	2044074	14.752064105566	-1.61719363357505	3.68733785756847	-0.438580270114296	0.660965695642553	1	LOC105378590	Intron
chr1	2132768	2133273	59.3563548169555	5.28437710346705	3.60647541830107	1.46524694904378	NA	NA	PRKCZ-AS1	Intron
chr1	2655754	2656366	28.7435283793052	14.728289169358	3.95873234687951	3.72045591336015	NA	NA	LOC105378598	Intron
chr1	3286187	3286940	34.6871954428285	-4.63790638360524	3.78542950418505	-1.22519951262538	NA	NA	LOC105378604	Intron
chr1	3856768	3857210	18.514304501094	-5.02671807332636	2.866707883725	-1.75348109302112	NA	NA	DFFB	Promoter
chr1	3866327	3866938	83.1885258053362	-7.67188769498664	3.31422788648058	-2.31483409040213	NA	NA	CEP104	UTR
chr1	3938235	3939005	22.0407814444665	9.11719142604868	3.81184913179387	2.3918027998548	0.0167658478427183	0.0588924518890918	LINC01346	Promoter
chr1	4157746	4158294	30.7210645310735	-15.1668708963451	4.40735632387878	-3.44126269395826	NA	NA	LINC02780	Intergenic
chr1	5378020	5378608	70.9478433077687	6.01086679133575	2.75787416193765	2.17952902793527	NA	NA	LOC105376686	Intergenic
chr1	5727817	5728008	20.0284901812205	0.580727043364755	3.28747048621929	0.176648595264687	NA	NA	LOC124903830	Intron
chr1	6348807	6349434	12.8065856437185	-7.00183646314214	3.19917159501468	-2.18864048244652	0.0286229810102769	0.0730999138957922	ACOT7	Intron
chr1	6784639	6785243	139.92908649155	-7.66053762244116	3.00189602858529	-2.55189971587769	NA	NA	CAMTA1-DT	Promoter
chr1	7066570	7067121	37.7980170721166	4.15195110706093	4.01641930152875	1.03374443636415	NA	NA	CAMTA1-AS3	Intron
chr1	7460158	7460781	37.9671933419519	7.97786109637341	3.48843532216235	2.28694539517167	0.0221990105052158	0.0656808818757495	CAMTA1-AS1	Intron
chr1	8025829	8026258	14.5847913071782	-0.654247981889628	3.46888098316207	-0.188604908921737	0.850402485105257	1	ERRFI1	Promoter
chr1	8878884	8879492	13.9042964639619	-3.66431530485099	2.99000480817227	-1.22552154258605	NA	NA	ENO1	Promoter
chr1	10461197	10461611	36.1207815682565	-7.26271101238795	3.46063371932768	-2.09866504271331	NA	NA	PEX14	UTR
chr1	10610403	10610867	23.772821393827	-18.6426766564859	4.26499633307673	-4.37108855449759	NA	NA	DFFA	Intron
chr1	12316556	12317354	3.30264735581987	1.25866839554095	4.10960959920442	0.306274444118636	0.759395695501322	NA	NA	NA
chr1	12375858	12376487	12.4307928392955	-6.50294919370146	4.2510194373623	-1.52973875784874	NA	NA	LOC124903845	Intron
chr1	12763019	12763585	88.4963313673061	-2.44223676249741	3.91787473930219	-0.623357540760068	NA	NA	PRAMEF12	UTR
chr1	13848233	13848744	48.3589701087378	-6.52869193484878	3.44675811774534	-1.89415436529659	NA	NA	KAZN	Intron
chr1	14885477	14885795	44.9086438468213	1.69557273929124	3.22084970645124	0.526436466717175	NA	NA	LOC107985469	Intron
chr1	15747196	15748176	118.052536276331	-3.51305886453897	3.15703513116536	-1.11277154627107	NA	NA	SLC25A34-AS1	Promoter
chr1	16156634	16157391	82.9270851414239	-5.91775150039383	3.62445493845451	-1.63272867255378	NA	NA	EPHA2	Promoter
chr1	16484537	16485437	29.1733298742718	-8.23692765256007	2.90245601509031	-2.83791644377556	0.00454090680291909	0.0447440144443982	NA	NA
chr1	16609827	16610387	26.9472992889363	-2.80080058991199	3.58849658292567	-0.780494149900657	NA	NA	NA	NA
chr1	16643224	16644152	31.8636954073076	2.0193480544218	3.05686784387032	0.660593835769192	NA	NA	NA	NA
chr1	17156042	17156577	11.9102647250044	-4.25504963173291	3.67767319275132	-1.15699503700318	NA	NA	SDHB	Intergenic
chr1	19256006	19256560	31.8040479050638	3.96704592067814	3.93426223128988	1.00833286839081	NA	NA	MRTO4	Exon
chr1	19284205	19284863	23.1678248250849	-5.64733827364597	3.24142082062201	-1.74224162370941	NA	NA	AKR7A3	Exon
chr1	19376769	19377022	48.3487780661406	-0.117274422198767	2.79274121366157	-0.0419925847855442	NA	NA	LOC124903868	UTR
