CHR	START	END	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	SYMBOL	location
chr1	1615558	1616226	32.0670625212172	-9.77940083072297	4.11949227381287	-2.37393352886944	NA	NA	MIB2	Promoter
chr1	1946784	1947205	56.4562912695164	8.91625382454347	4.63106264705535	1.92531487999042	0.0541899771963929	0.10883919148767	TMEM52	Exon
chr1	2043410	2044074	14.752064105566	8.87018848936074	5.11945719032906	1.73264237976577	0.0831592517615215	NA	LOC105378590	Intron
chr1	2132768	2133273	59.3563548169555	-14.5532558600807	5.12749918621246	-2.83827560601345	NA	NA	PRKCZ-AS1	Intron
chr1	2655754	2656366	28.7435283793052	-11.8796675189712	5.39103752530005	-2.20359577599304	NA	NA	LOC105378598	Intron
chr1	3286187	3286940	34.6871954428285	-18.8138072536124	5.42415391980212	-3.46852385308025	NA	NA	LOC105378604	Intron
chr1	3856768	3857210	18.514304501094	5.34702783436092	4.12639744437829	1.29581018465528	NA	NA	DFFB	Promoter
chr1	3866327	3866938	83.1885258053362	-1.94823845967786	4.68562460959669	-0.415790555583059	NA	NA	CEP104	UTR
chr1	3938235	3939005	22.0407814444665	-9.14888044258673	5.51707432503545	-1.65828479073969	0.0972599973977278	NA	LINC01346	Promoter
chr1	4157746	4158294	30.7210645310735	13.1522837393427	6.00840986694068	2.18897911936881	NA	NA	LINC02780	Intergenic
chr1	5378020	5378608	70.9478433077687	-12.2760902399698	3.86737178025225	-3.1742720735189	NA	NA	LOC105376686	Intergenic
chr1	5727817	5728008	20.0284901812205	-6.32902978306648	4.57424428213259	-1.38362304081315	NA	NA	LOC124903830	Intron
chr1	6348807	6349434	12.8065856437185	7.84712098301947	4.53780491914997	1.72927684702881	0.0837595583734021	NA	ACOT7	Intron
chr1	6784639	6785243	139.92908649155	-1.46544110283436	4.24936408225729	-0.344861272055536	NA	NA	CAMTA1-DT	Promoter
chr1	7066570	7067121	37.7980170721166	18.8444218918707	5.66765467432355	3.32490650449161	NA	NA	CAMTA1-AS3	Intron
chr1	7460158	7460781	37.9671933419519	-8.97138448389865	5.10997538236526	-1.75566099884928	0.0791463099746696	NA	CAMTA1-AS1	Intron
chr1	8025829	8026258	14.5847913071782	6.91016651749091	4.72121983732159	1.46364006667631	0.14329231903851	NA	ERRFI1	Promoter
chr1	8878884	8879492	13.9042964639619	3.64898817306773	4.44154549700558	0.821558211106432	NA	NA	ENO1	Promoter
chr1	10461197	10461611	36.1207815682565	0.314202118930308	4.85868954842981	0.0646680788715651	NA	NA	PEX14	UTR
chr1	10610403	10610867	23.772821393827	30	6.01952405491421	4.98378272539814	NA	NA	DFFA	Intron
chr1	12316556	12317354	3.30264735581987	-2.2523467023176	6.02594265049328	-0.373774998030097	0.708571722159998	NA	NA	NA
chr1	12375858	12376487	12.4307928392955	25.8711183376708	6.01078309653412	4.30411777004369	NA	NA	LOC124903845	Intron
chr1	12763019	12763585	88.4963313673061	-2.99841099631274	5.39284951636879	-0.555997527320526	NA	NA	PRAMEF12	UTR
chr1	13848233	13848744	48.3589701087378	-0.260888195187836	4.84368592841265	-0.0538615011467792	NA	NA	KAZN	Intron
chr1	14885477	14885795	44.9086438468213	-9.02175984430796	4.54602045314273	-1.98454009111883	NA	NA	LOC107985469	Intron
chr1	15747196	15748176	118.052536276331	3.4789392638602	4.43168337119424	0.785015302869596	NA	NA	SLC25A34-AS1	Promoter
chr1	16156634	16157391	82.9270851414239	15.2566739707182	5.21726810234153	2.92426489715392	NA	NA	EPHA2	Promoter
chr1	16484537	16485437	29.1733298742718	7.69184729666239	4.14589608661766	1.85529186838294	0.0635545587877741	NA	NA	NA
chr1	16609827	16610387	26.9472992889363	3.73050504862381	5.3354140921136	0.699196910346276	NA	NA	NA	NA
chr1	16643224	16644152	31.8636954073076	-1.42502905801836	4.52575937612101	-0.314870707783793	NA	NA	NA	NA
chr1	17156042	17156577	11.9102647250044	6.11805125850607	5.39615148775211	1.13378048640637	NA	NA	SDHB	Intergenic
chr1	19256006	19256560	31.8040479050638	-3.9161660928727	5.80048316936706	-0.675144807514375	NA	NA	MRTO4	Exon
chr1	19284205	19284863	23.1678248250849	4.65345947174836	4.83407129907242	0.962637740291768	NA	NA	AKR7A3	Exon
chr1	19376769	19377022	48.3487780661406	-6.40938920110779	3.83405372082672	-1.67170041627006	NA	NA	LOC124903868	UTR
chr1	19689953	19690584	14.1793706516798	7.18221981501164	6.06842512512786	1.18353933136158	NA	NA	HTR6	Intron
chr1	20043787	20044231	33.7099290082491	11.561429258883	4.94005218686289	2.34034557157683	0.0192659041539779	NA	PLA2G5	Intron
chr1	20651514	20652355	7.05328024641533	-7.51590164430634	6.12264357127488	-1.22755825270772	0.219612841542965	NA	PINK1-AS	Promoter
chr1	20999944	21000287	36.0593847906177	12.7765224144019	5.1191070319792	2.49584982978215	NA	NA	MIR1256	Intron
chr1	21613048	21613791	13.4204660968763	8.75059678803918	5.95193514300839	1.47021037322934	0.141504786123014	NA	LINC02596	Exon
chr1	22184667	22186087	21.5387916272872	30	5.72639573853595	5.23889744435826	NA	NA	LOC105376850	Exon
chr1	22331679	22332062	47.0267181787023	29.4277533397775	6.00735082944336	4.89862406496146	NA	NA	MIR4418	Intergenic
chr1	22678135	22678527	92.2605292488742	27.8374247920328	5.8621666634314	4.74865802872589	NA	NA	C1QB	Intergenic
chr1	22801450	22801964	53.3909688374336	-8.84566966202431	4.10066646435974	-2.15712975900502	0.0309955554741488	0.091840232891972	MIR4253	Intron
chr1	24125027	24125443	101.789080467091	-7.65825832891423	4.27652617914171	-1.79076615180483	0.0733308290957929	0.119446092753972	MYOM3	Intron
chr1	26857518	26857724	77.142440487816	8.34658601494808	4.06719129472567	2.05217443934145	NA	NA	SFN	UTR
chr1	26907107	26907807	47.3194343843064	-14.9343357612386	5.90491650852844	-2.52913580398114	NA	NA	NR0B2	Intron
chr1	27199517	27200557	128.878925030463	-15.9072276754078	4.09279416992452	-3.88664247821219	NA	NA	SLC9A1	Intergenic
chr1	27914198	27914539	101.178840605929	-15.4696401271067	4.67152948853755	-3.31147222019347	NA	NA	RPA2	Promoter
chr1	27917456	27918507	63.5145179010201	-11.8440211524605	4.67870061666143	-2.53147660491087	NA	NA	NA	NA
chr1	28684066	28684738	30.9588139152707	10.9109345547527	5.71814277751204	1.9081255888997	NA	NA	LOC124904809	Intron
chr1	28729121	28729671	26.803315585117	-2.54054910861528	5.06038684899542	-0.502046421435078	NA	NA	YTHDF2	Intergenic
chr1	29195945	29196739	5.09061070310866	5.41505922224712	6.12340041486041	0.88432224832231	0.376522281494034	NA	SRSF4	UTR
chr1	29340374	29341286	21.7111539255346	6.83106911933799	5.42738237349148	1.2586305237498	0.208163816614365	NA	LINC01756	Intron
chr1	30165602	30165900	115.98454353204	-0.319823567760249	5.11710325100922	-0.0625009017938366	NA	NA	LOC105378618	Intergenic
chr1	30267297	30267746	26.3253824311582	11.3367068100191	5.45276420039158	2.07907519808118	NA	NA	NA	NA
chr1	30303602	30304093	59.8536844794444	-1.36312820498124	4.83887598397621	-0.281703480208048	NA	NA	NA	NA
chr1	30610767	30611341	32.6554652578533	-8.76123549796572	5.75556498644174	-1.52221988955113	0.127953993090066	NA	LOC124903888	Intergenic
chr1	30716746	30717356	53.8641549580749	-2.07162810592445	5.2104838955788	-0.397588428913919	NA	NA	MATN1-AS1	Promoter
chr1	31043789	31044485	62.7206463338841	-18.1306663256622	5.32478309779726	-3.40495866078797	NA	NA	PUM1	Intron
chr1	31572581	31572987	35.4277356529054	12.5326371609905	6.00816006731341	2.08593596385234	NA	NA	TINAGL1	Intron
chr1	31799680	31800457	26.4010135078168	26.4917242458129	5.75223002732596	4.60547024718484	NA	NA	LOC124903930	UTR
chr1	32767616	32769189	49.6774987075467	11.4898413965285	4.92438147462822	2.33325575114912	0.0196347263284374	0.0831315297380008	NHSL3	Exon
chr1	32972009	32972469	31.5740825063235	8.06437217807063	5.28605139736542	1.52559473449122	0.127110824281279	NA	RNF19B	Intergenic
chr1	33110064	33110457	5.21604553700247	-1.36099858197776	6.01861261578896	-0.226131613522921	0.821099057305	NA	AZIN2	Intron
chr1	33866939	33867523	17.5647222540407	7.47569854198039	5.22662217344216	1.43031164180307	0.152627594968474	NA	NA	NA
chr1	33899965	33900758	49.6012549988378	-30	6.0318715012919	-4.97358075243722	NA	NA	CSMD2-AS1	Intron
