CHR	START	END	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	SYMBOL	location	direction
chr1	48710041	48711029	51.526302063385	16.7497614661191	4.96828068513999	3.3713396097401	0.000748035818967829	0.0159807260797904	BEND5	Intron	Synergistic
chr1	52248541	52248905	86.0258534745389	-14.9247011603347	3.880289275597	-3.84628570199537	0.000119921921244661	0.00710537383374617	ZFYVE9	Intron	Antagonistic
chr1	53511564	53512196	96.1667558330387	16.7768248044783	4.43020603188426	3.78691751212815	0.000152527707022919	0.00712750056880799	DMRTB1	Intron	Synergistic
chr1	182409432	182409809	95.9699255516746	13.5548776285706	3.71781577392785	3.64592504115661	0.000266431637612468	0.00902061401630786	RGSL1	Promoter	Synergistic
chr11	34163009	34163847	73.7669370547695	-14.0987370969097	4.40211503700756	-3.20271891542699	0.0013613678581102	0.0215096121581412	NAT10	Intron	Antagonistic
chr11	78951274	78951850	54.8586795029596	-15.9695864913173	4.72939538489341	-3.37666555482488	0.000733702029311821	0.0159807260797904	LOC124902724	Intron	Antagonistic
chr15	63058009	63058454	81.4599622789916	-12.5364593306165	4.37843713477689	-2.86322697910686	0.0041935003939105	0.0484809557735019	TPM1-AS	Intron	Antagonistic
chr16	53438050	53438724	48.005360722093	14.671044730226	4.33508882998816	3.38425469594498	0.000713717627777824	0.0159807260797904	RBL2	Intron	Synergistic
chr17	7329381	7330725	132.485299784144	10.5366344499552	3.17960269523909	3.31382108391467	0.000920303750301885	0.0176409552291841	CTDNEP1	UTR	Synergistic
chr18	9499080	9499426	60.2386886311777	-14.4853022125639	4.69142861632776	-3.08761006448019	0.00201773036819862	0.0294755244686953	NA	NA	Antagonistic
chr19	45834955	45835500	76.8733806683014	24.777811070406	5.13348485573253	4.82670384090775	1.38811308153943e-06	0.00021932186688323	RSPH6A	Exon	Synergistic
chr19	56839161	56839741	45.2498302800852	9.6335912730927	3.34204715314977	2.88254199645668	0.00394480547303212	0.0467459448554306	PEG3	Promoter	Synergistic
chr2	16442995	16443409	78.2005516250489	-11.9326522431109	3.80290127556684	-3.13777597114516	0.00170234935322115	0.0260294707557041	LOC105373444	Intron	Antagonistic
chr2	41041220	41041863	99.3971094930589	15.6545807418171	5.23050128288263	2.99294080914355	0.00276303331069208	0.0361516666878103	LOC105374497	Intron	Synergistic
chr2	73612855	73613513	81.5426424192008	16.1202573032062	4.65085117623819	3.4660875380332	0.000528091311804036	0.0144633188716374	LOC124905592	Intron	Synergistic
chr2	85538976	85539463	81.1295324211158	10.6354635465701	3.22793233089139	3.29482233713157	0.000984839228726399	0.0176409552291841	PARTICL	Promoter	Synergistic
chr2	88891438	88891751	78.1117727220889	16.3880690357935	4.68310499063408	3.49940244102334	0.000466302208177419	0.013814202917256	MALLP2	Intergenic	Synergistic
chr2	119187612	119187966	52.206304228666	15.0785096997198	5.3106894801503	2.83927534382843	0.00452161217457444	0.0499480878512928	C1QL2	Intron	Synergistic
chr2	149533130	149533557	99.021676040763	-16.0087026583356	3.91620096201975	-4.08781439297722	4.3545632251471e-05	0.00412812593743945	MMADHC-DT	Intergenic	Antagonistic
chr2	223309891	223310773	72.2873632866106	13.8922984683196	4.20091153879641	3.30697238921148	0.000943101872942723	0.0176409552291841	NA	NA	Synergistic
chr2	240225059	240225667	54.4606182503931	29.6843674737822	5.70536408181373	5.20288750167643	1.96215658217945e-07	4.65031109976529e-05	LOC105373968	Intergenic	Synergistic
chr20	18519404	18520428	88.0382122767782	-11.6069984281027	3.88649673485603	-2.98649380662162	0.00282196554314131	0.0361516666878103	SEC23B	Intron	Antagonistic
chr20	31563763	31564304	99.8980341394434	-16.3369934900653	4.33719315084852	-3.76672030086304	0.000165406131343645	0.00712750056880799	LOC107985416	UTR	Antagonistic
chr20	60059324	60059677	43.6358186637208	-17.7385157716277	5.27188870076706	-3.36473639305905	0.000766168205220034	0.0159807260797904	MIR646HG	Intron	Antagonistic
chr21	36646629	36647291	124.638387880182	-15.8935626515397	3.98233987256359	-3.99101110405938	6.57921994908271e-05	0.00505660847196584	LOC105369308	Intron	Antagonistic
chr22	22318258	22319206	55.6177218256921	-14.3332685113189	4.40047359451	-3.25721043507702	0.00112512987852787	0.019046841515079	NA	NA	Antagonistic
chr3	11117893	11118423	59.5801060807658	-11.217773098903	3.7911258554552	-2.95895560490594	0.00308683567742634	0.0385042134500023	HRH1	Intergenic	Antagonistic
chr3	39967199	39967670	50.3272541122188	14.2350293422675	4.23482971009674	3.36141718008829	0.000775436075601642	0.0159807260797904	MYRIP	Intron	Synergistic
chr3	52406264	52407442	88.6176305332569	16.6254723684631	4.40792872443222	3.77171987294432	0.000162126208251818	0.00712750056880799	BAP1	Promoter	Synergistic
chr3	53190024	53190612	48.4826632649739	15.7075783408448	4.8991709267559	3.2061707124895	0.001345141609299	0.0215096121581412	PRKCD	Intron	Synergistic
chr3	59720726	59721367	90.1069626812388	-12.7142255147551	4.17529586347748	-3.04510768349857	0.00232597014063514	0.031500281333173	NA	NA	Antagonistic
chr3	80258706	80258995	65.9655780604558	16.2788198659276	4.10990508648968	3.96087489208456	7.46756525395799e-05	0.00505660847196584	ROBO1	Intergenic	Synergistic
chr4	1768412	1768965	77.1689889419291	-15.3554108089622	4.98133807792716	-3.08258756357125	0.00205209347566866	0.0294755244686953	LOC124900648	Intergenic	Antagonistic
chr5	88864790	88865424	82.867585333848	16.2060877008661	4.68991786992818	3.45551631186971	0.000549239957150788	0.0144633188716374	MEF2C-AS1	Intron	Synergistic
chr6	43138038	43139036	50.9711081588239	12.6819453813151	4.46767208480985	2.83860255197196	0.00453115564895694	0.0499480878512928	SRF	UTR	Synergistic
chr6	48940825	48941303	107.902180896287	-15.7132001009199	4.77726664821719	-3.28916119990578	0.00100486453837125	0.0176409552291841	LOC107986602	Intergenic	Antagonistic
chr7	3942114	3942409	135.016235020863	-11.1735584437699	3.64084994990145	-3.0689423067469	0.00214818071944484	0.0299481665004957	LOC105375131	Intron	Antagonistic
chr7	71661017	71661328	135.836099955611	-14.7233979426733	4.11836028998284	-3.57506310909351	0.000350143425525627	0.0110645322466098	MIR3914-1	Intron	Antagonistic
chr7	128848480	128849244	110.740556456696	-26.4455797020363	4.55295115683113	-5.80844792555221	6.30546349052613e-09	2.98878969450939e-06	FLNC-AS1	Exon	Antagonistic
chr7	132575546	132576002	156.765382546738	-11.7185859371061	3.20987245004348	-3.65079488966841	0.000261429958380492	0.00902061401630786	PLXNA4	Intron	Antagonistic
chr8	28701536	28702050	47.5387324216971	14.8620267025292	4.03693226440598	3.68151500424447	0.000231852141919705	0.00902061401630786	EXTL3-AS1	Promoter	Synergistic
chr8	79809927	79810489	47.7844915968381	-14.5776544418403	4.95700005989932	-2.94082192166373	0.00327342662054155	0.0397847235419666	LOC124902076	Intron	Antagonistic
